School,Level,Access to,County,Activity Regions,Counselor Email,Dashboard Link,Inspire Email
Bowler High School,High School,Virtual,,,abbybehnke@bowler.k12.wi.us,https://www.formstack.com/admin/submission/report/36334132?share=FyRI1AKpSf,"bholbrook@cesa9.org, vbrooks@cesa9.org"
Brown Deer School District,"High School, Middle School",M7-Educator,Milwaukee,Milwaukee,,https://www.formstack.com/admin/submission/report/43877963?share=vnL0B1vTKi,inspirem7@cesa1.k12.wi.us
Burlington Area School District,"High School, Middle School",M7-Educator,Walworth,Walworth,,https://www.formstack.com/admin/submission/report/43877963?share=vnL0B1vTKi,inspirem7@cesa1.k12.wi.us
Campbellsport High School,High School,Full Service,FOND DU LAC,"Brown, Calumet, Columbia, Dodge, Fond Du Lac, Green Lake, Manitowoc, Outagamie, Ozaukee, Sheboygan, Washington, Winnebago",KGravelle@csd.k12.wi.us,https://www.formstack.com/admin/submission/report/30332486?share=MZKIOnpa26,"rdroesslermersch@cesa6.org, mstolp@cesa6.org"
Campbellsport Middle School,Middle School,Virtual,FOND DU LAC,,,https://www.formstack.com/admin/submission/report/30332486?share=MZKIOnpa26,"rdroesslermersch@cesa6.org, mstolp@cesa6.org"
Cedar Grove Belgium High School,High School,Full Service,SHEBOYGAN,"Sheboygan, Ozaukee",msmillie@cgbrockets.com,https://www.formstack.com/admin/submission/report/30332644?share=QwxSa2Yn1O,mmotiska@inspiresheboygancounty.org
Cedar Grove Belgium Middle School,Middle School,Full Service,SHEBOYGAN,"Sheboygan, Ozaukee",bsmittkamp@cgbrockets.com,https://www.formstack.com/admin/submission/report/30332644?share=QwxSa2Yn1O,mmotiska@inspiresheboygancounty.org
Cedarburg School District,"High School, Middle School",M7-Educator,Ozaukee M7,Ozaukee M7,,https://www.formstack.com/admin/submission/report/43877965?share=BBTP5xKsys,inspirem7@cesa1.k12.wi.us
Central High School,High School,Full Service,SHEBOYGAN,Sheboygan,aberlin@centralhs.org,https://www.formstack.com/admin/submission/report/30332864?share=kI3K0ljhbw,mmotiska@inspiresheboygancounty.org
Central/Westosha UHS School District,"High School, Middle School",M7-Educator,Kenosha,Kenosha,,https://www.formstack.com/admin/submission/report/43877966?share=7H7rQEDGWy,inspirem7@cesa1.k12.wi.us
Change Academy,High School,Full Service,SHEBOYGAN,Sheboygan,kpeterson@sasd.net,https://www.formstack.com/admin/submission/report/30332865?share=6c4dPYe91y,mmotiska@inspiresheboygancounty.org
Chilton High School,High School,Full Service,CALUMET,"Brown, Calumet, Dodge, Fond Du Lac, Green Lake, Manitowoc, Outagamie, Ozaukee, Sheboygan, Washington, Winnebago",,https://www.formstack.com/admin/submission/report/30332852?share=6s4utL7Qe3,"mstolp@cesa6.org, cpavelski@cesa6.org"
Chilton Middle School,Middle School,Virtual,CALUMET,,,https://www.formstack.com/admin/submission/report/30332852?share=6s4utL7Qe3,"mstolp@cesa6.org, cpavelski@cesa6.org"
Clintonville High School,High School,Full Service,WAUPACA,"Waupaca, Shawano, Outagamie","tkuhn@clintonville.k12.wi.us, phuettner@clintonville.k12.wi.us",https://www.formstack.com/admin/submission/report/39910841?share=vJwkkXo3T6,Inspire@waupacaareachamber.com
Clintonville Middle School,Middle School,Full Service,WAUPACA,"Waupaca, Shawano, Outagamie","tkuhn@clintonville.k12.wi.us, phuettner@clintonville.k12.wi.us",https://www.formstack.com/admin/submission/report/39910841?share=vJwkkXo3T6,Inspire@waupacaareachamber.com
Coleman High School,High School,Virtual,,,kmayer@coleman.k12.wi.us,https://www.formstack.com/admin/submission/report/36334145?share=LuQOcefkP2,"bholbrook@cesa9.org, vbrooks@cesa9.org"
Cudahy School District,"High School, Middle School",M7-Educator,Milwaukee,Milwaukee,,https://www.formstack.com/admin/submission/report/43877978?share=WNnBM3vBs7,inspirem7@cesa1.k12.wi.us
Delavan Darien School District,"High School, Middle School",M7-Educator,Walworth,Walworth,,https://www.formstack.com/admin/submission/report/43878023?share=S2lxXogIFg,inspirem7@cesa1.k12.wi.us
Denmark High School,High School,Full Service,MANITOWOC,"Brown, Calumet, Dodge, Fond Du Lac, Green Lake, Manitowoc, Outagamie, Ozaukee, Sheboygan, Washington, Winnebago",,https://www.formstack.com/admin/submission/report/36999497?share=vzWkuhepNv,mstolp@cesa6.org
Dodgeland High School,High School,Full Service,DODGE,"Brown, Calumet, Columbia, Dodge, Fond Du Lac, Green Lake, Manitowoc, Outagamie, Ozaukee, Sheboygan, Washington, Winnebago",,https://www.formstack.com/admin/submission/report/30332910?share=xtfADHJG3r,"rdroesslermersch@cesa6.org, mstolp@cesa6.org"
Dodgeland Middle School,Middle School,Virtual,DODGE,,,https://www.formstack.com/admin/submission/report/30332910?share=xtfADHJG3r,"rdroesslermersch@cesa6.org, mstolp@cesa6.org"
East Troy Community School District,"High School, Middle School",M7-Educator,Walworth,Walworth,,https://www.formstack.com/admin/submission/report/43878035?share=4ywkstz1oE,inspirem7@cesa1.k12.wi.us
Elkhart Lake Glenbeulah High School,High School,Full Service,SHEBOYGAN,"Calumet, Sheboygan, Fond du Lac, ",mbunyea@goresorters.com,https://www.formstack.com/admin/submission/report/30332933?share=NtuSiG7K5x,mmotiska@inspiresheboygancounty.org
Elkhart Lake Glenbeulah Middle School,Middle School,Full Service,SHEBOYGAN,"Calumet, Sheboygan",jshanahan@goresorters.com,https://www.formstack.com/admin/submission/report/30332933?share=NtuSiG7K5x,mmotiska@inspiresheboygancounty.org
Elkhorn Area School District,"High School, Middle School",M7-Educator,Walworth,Walworth,,https://www.formstack.com/admin/submission/report/43878047?share=OUxt4ByPcP,inspirem7@cesa1.k12.wi.us
Elmbrook School District,"High School, Middle School",M7-Educator,Waukesha,Waukesha,,https://www.formstack.com/admin/submission/report/43878059?share=e2bHvKUORJ,inspirem7@cesa1.k12.wi.us
Escuela Verde,"High School, Middle School",M7-Educator,Milwaukee,Milwaukee,,https://www.formstack.com/admin/submission/report/43878060?share=UNBpIBVuOi,inspirem7@cesa1.k12.wi.us
Étude High School,High School,Full Service,SHEBOYGAN,Sheboygan,ckissinger@etudegroup.org,https://www.formstack.com/admin/submission/report/30332717?share=qwW915u1uT,mmotiska@inspiresheboygancounty.org
Étude Middle School,Middle School,Full Service,SHEBOYGAN,Sheboygan,,https://www.formstack.com/admin/submission/report/30332717?share=qwW915u1uT,mmotiska@inspiresheboygancounty.org
Farnsworth Middle School - Sheboygan,Middle School,Full Service,SHEBOYGAN,Sheboygan,jwetzel@sasd.net,https://www.formstack.com/admin/submission/report/30333013?share=8h7e6cMOa0,mmotiska@inspiresheboygancounty.org
Florence High School,High School,Virtual,,,feuerhammerm@myflorence.org,https://www.formstack.com/admin/submission/report/36334157?share=60RXYQ6jlT,"bholbrook@cesa9.org, vbrooks@cesa9.org"
Fond du Lac High School,High School,Full Service,FOND DU LAC,"Brown, Calumet, Columbia, Dodge, Fond Du Lac, Green Lake, Manitowoc, Outagamie, Ozaukee, Sheboygan, Washington, Winnebago","krugt@fonddulac.k12.wi.us,odekirkan@fonddulac.k12.wi.us,michalkiewiczt@fonddulac.k12.wi.us",https://www.formstack.com/admin/submission/report/30333036?share=jVxIeKwJ3O,"mstolp@cesa6.org, rdroesslermersch@cesa6.org"
Fox Point J2 School District,Middle School,M7-Educator,Milwaukee,Milwaukee,,https://www.formstack.com/admin/submission/report/43878072?share=LpHsStTmxK,inspirem7@cesa1.k12.wi.us
Fox Valley Lutheran High School,High School,Full Service,OUTAGAMIE,"Brown, Calumet, Dodge, Fond Du Lac, Green Lake, Manitowoc, Outagamie, Ozaukee, Sheboygan, Washington, Winnebago",,https://www.formstack.com/admin/submission/report/38607593?share=AiZBsUBPZF,"cpavelski@cesa6.org, mstolp@cesa6.org"
Franklin Public School District,"High School, Middle School",M7-Educator,Milwaukee,Milwaukee,,https://www.formstack.com/admin/submission/report/43878073?share=lxvX1Cnywk,inspirem7@cesa1.k12.wi.us
Freedom High School ,High School,Full Service,OUTAGAMIE,"Brown, Calumet, Dodge, Fond Du Lac, Green Lake, Manitowoc, Outagamie, Ozaukee, Sheboygan, Washington, Winnebago",,https://www.formstack.com/admin/submission/report/36999462?share=egWgQbke7y,"mstolp@cesa6.org, cpavelski@cesa6.org"
George D. Warriner High School,High School,Full Service,SHEBOYGAN,Sheboygan,jmaramonte@warrinerschools.org,https://www.formstack.com/admin/submission/report/30332818?share=y3vXqAMgHH,mmotiska@inspiresheboygancounty.org
George D. Warriner Middle School - Sheboygan,Middle School,Full Service,SHEBOYGAN,Sheboygan,jmaramonte@warrinerschools.org,https://www.formstack.com/admin/submission/report/30332818?share=y3vXqAMgHH,mmotiska@inspiresheboygancounty.org
Germantown School District,"High School, Middle School",M7-Educator,Washington M7,Washington M7,,https://www.formstack.com/admin/submission/report/43878074?share=ab7Mo01289,inspirem7@cesa1.k12.wi.us
Glendale-River Hills School District,Middle School,M7-Educator,Milwaukee,Milwaukee,,https://www.formstack.com/admin/submission/report/43878086?share=gFLMpBurPU,inspirem7@cesa1.k12.wi.us
Goodman High School,High School,Virtual,,,abraaten@goodman.k12.wi.us,https://www.formstack.com/admin/submission/report/36334169?share=dd0iQAq2Qt,"bholbrook@cesa9.org, vbrooks@cesa9.org"
Grafton School District,"High School, Middle School",M7-Educator,Ozaukee M7,Ozaukee M7,,https://www.formstack.com/admin/submission/report/43878087?share=paEnpT2zrB,inspirem7@cesa1.k12.wi.us
Greendale School District,"High School, Middle School",M7-Educator,Milwaukee,Milwaukee,,https://www.formstack.com/admin/submission/report/43878088?share=pY6B8YS4WT,inspirem7@cesa1.k12.wi.us
Greenfield School District,"High School, Middle School",M7-Educator,Milwaukee,Milwaukee,,https://www.formstack.com/admin/submission/report/43878089?share=AZeJzHKXaz,inspirem7@cesa1.k12.wi.us
Greenville Middle School - Hortonville,Middle School,Virtual,OUTAGAMIE,,,https://www.formstack.com/admin/submission/report/30333073?share=bCPsWtxu1i,"mstolp@cesa6.org, cpavelski@cesa6.org"
Gresham High School,High School,Virtual,,,laginas@gresham.k12.wi.us,https://www.formstack.com/admin/submission/report/36334181?share=n87nRBpaqa,"bholbrook@cesa9.org, vbrooks@cesa9.org"
Hamilton School District,"High School, Middle School",M7-Educator,Waukesha,Waukesha,,https://www.formstack.com/admin/submission/report/43878090?share=CTmPk0WLyC,inspirem7@cesa1.k12.wi.us
Hartford UHS School District,"High School, Middle School",M7-Educator,Washington M7,Washington M7,,https://www.formstack.com/admin/submission/report/43878091?share=NwSZFoQya9,inspirem7@cesa1.k12.wi.us
Hartland-Lakeside J3 School District,Middle School,M7-Educator,Waukesha,Waukesha,,https://www.formstack.com/admin/submission/report/43878092?share=9HBm0WpFGS,inspirem7@cesa1.k12.wi.us
Hilbert High School,High School,Full Service,CALUMET,"Brown, Calumet, Dodge, Fond Du Lac, Green Lake, Manitowoc, Outagamie, Ozaukee, Sheboygan, Washington, Winnebago",,https://www.formstack.com/admin/submission/report/30333108?share=ZhXpe5siMW,"mstolp@cesa6.org, cpavelski@cesa6.org"
Hilbert Middle School,Middle School,Virtual,CALUMET,,,https://www.formstack.com/admin/submission/report/30333108?share=ZhXpe5siMW,"mstolp@cesa6.org, cpavelski@cesa6.org"
Horace Mann Middle School - Sheboygan,Middle School,Full Service,SHEBOYGAN,Sheboygan,"cthoele@sasd.net, rzenk@sasd.net",https://www.formstack.com/admin/submission/report/30333013?share=8h7e6cMOa0,mmotiska@inspiresheboygancounty.org
Horace Mann Middle School - Wausau,Middle School,Full Service ,MARATHON,"Langlade, Lincoln, Marathon, Oneida, Shawano","jrauscher@wausauschools.org,jwinter@wausauschools.org ",https://www.formstack.com/admin/submission/report/36334233?share=iZcKqfE7fC,"bholbrook@cesa9.org, vbrooks@cesa9.org"
Horicon High School,High School,Full Service,Dodge,"Brown, Calumet, Columbia, Dodge, Fond Du Lac, Green Lake, Manitowoc, Outagamie, Ozaukee, Sheboygan, Washington, Winnebago",,https://www.formstack.com/admin/submission/report/36999773?share=RWNDTo67p3,"rdroesslermersch@cesa6.org, mstolp@cesa6.org"
Hortonville High School,High School,Full Service,OUTAGAMIE,"Brown, Calumet, Dodge, Fond Du Lac, Green Lake, Manitowoc, Outagamie, Ozaukee, Sheboygan, Washington, Winnebago",,https://www.formstack.com/admin/submission/report/30333073?share=bCPsWtxu1i,"mstolp@cesa6.org, cpavelski@cesa6.org"
Hortonville Middle School,Middle School,Virtual,OUTAGAMIE,,,https://www.formstack.com/admin/submission/report/30333073?share=bCPsWtxu1i,"mstolp@cesa6.org, cpavelski@cesa6.org"
Howards Grove High School,High School,Full Service,SHEBOYGAN,"Sheboygan, Manitowoc",kneave@hgsd.k12.wi.us,https://www.formstack.com/admin/submission/report/30333232?share=wAXo5uO1MY,mmotiska@inspiresheboygancounty.org
Howards Grove Middle School,Middle School,Full Service,SHEBOYGAN,"Sheboygan, Manitowoc",jluecke@hgsd.k12.wi.us,https://www.formstack.com/admin/submission/report/30333232?share=wAXo5uO1MY,mmotiska@inspiresheboygancounty.org
Iola-Scandinavia High School,High School,Full Service,WAUPACA,"Waupaca,Outagamie,Marathon,Shawano,Portage",,https://www.formstack.com/admin/submission/report/38165845?share=DlxUPA7Zr5,Inspire@waupacaareachamber.com
Iola-Scandinavia Middle School,Middle School,Full Service,WAUPACA,"Waupaca,Outagamie,Marathon,Shawano,Portage",,https://www.formstack.com/admin/submission/report/38165845?share=DlxUPA7Zr5,Inspire@waupacaareachamber.com
James Williams Middle School - Rhinelander,Middle School,Full Service,ONEIDA,"Langlade, Lincoln, Marathon, Oneida",allenale@rhinelander.k12.wi.us,https://www.formstack.com/admin/submission/report/30333244?share=sXVIS7YHun,"bholbrook@cesa9.org, vbrooks@cesa9.org"
John Muir Middle School - Wausau,Middle School,Full Service ,MARATHON,"Langlade, Lincoln, Marathon, Oneida, Shawano","jrauscher@wausauschools.org,jwinter@wausauschools.org ",https://www.formstack.com/admin/submission/report/36334233?share=iZcKqfE7fC,"bholbrook@cesa9.org, vbrooks@cesa9.org"
Kaukauna High School,High School,Full Service,OUTAGAMIE,"Brown, Calumet, Dodge, Fond Du Lac, Green Lake, Manitowoc, Outagamie, Ozaukee, Sheboygan, Washington, Winnebago",fischerw@kaukaunasd.org,https://www.formstack.com/admin/submission/report/30333278?share=4WCd3VHbVH,"cpavelski@cesa6.org, mstolp@cesa6.org"
Kenosha School District,"High School, Middle School",M7-Educator,Kenosha,Kenosha,,https://www.formstack.com/admin/submission/report/43878093?share=bWaAiHDQjj,inspirem7@cesa1.k12.wi.us
Kettle Moraine School District,"High School, Middle School",M7-Educator,Waukesha,Waukesha,,https://www.formstack.com/admin/submission/report/43878099?share=rl9obus6EF,inspirem7@cesa1.k12.wi.us
Kewaskum School District,"High School, Middle School",M7-Educator,Washington M7,Washington M7,,https://www.formstack.com/admin/submission/report/43878100?share=vFFPyYPBzE,inspirem7@cesa1.k12.wi.us
Kiel High School,High School,Full Service,SHEBOYGAN,"Calumet, Manitowoc, Sheboygan","haprill@kiel.k12.wi.us, cvajgrt@kiel.k12.wi.us",https://www.formstack.com/admin/submission/report/30333335?share=teJocwFUXg,mmotiska@inspiresheboygancounty.org
Kiel Middle School,Middle School,Full Service,SHEBOYGAN,"Calumet, Manitowoc, Sheboygan",mkautzer@kiel.k12.wi.us,https://www.formstack.com/admin/submission/report/30333335?share=teJocwFUXg,mmotiska@inspiresheboygancounty.org
Kohler High School,High School,Full Service,SHEBOYGAN,Sheboygan,nachreinerc@kohler.k12.wi.us ,https://www.formstack.com/admin/submission/report/30333336?share=qldEN6bb0F,mmotiska@inspiresheboygancounty.org
Kohler Middle School,Middle School,Full Service,SHEBOYGAN,Sheboygan,oconnorm@kohler.k12.wi.us ,https://www.formstack.com/admin/submission/report/30333336?share=qldEN6bb0F,mmotiska@inspiresheboygancounty.org
L.B. Clarke Middle School - Two Rivers,Middle School,Virtual,MANITOWOC,,,https://www.formstack.com/admin/submission/report/30333338?share=Tu71tjF1e1,mstolp@cesa6.org
Lake Country Academy,Middle School,Full Service,SHEBOYGAN,Sheboygan,,,mmotiska@inspiresheboygancounty.org
Lake Country School District,Middle School,M7-Educator,Waukesha,Waukesha,,https://www.formstack.com/admin/submission/report/43878101?share=lSA9HCMiDC,inspirem7@cesa1.k12.wi.us
Lake Geneva Genoa City UHS school,"High School, Middle School",M7-Educator,Walworth,Walworth,,https://www.formstack.com/admin/submission/report/43878102?share=4kNwUo8qW5,inspirem7@cesa1.k12.wi.us
Lakeland University,College/Post-Secondary,Full Service,SHEBOYGAN,"Sheboygan, Manitowoc, Calumet, Ozaukee",,https://www.formstack.com/admin/submission/report/30333361?share=7n8N32MVbC,mmotiska@inspiresheboygancounty.org
Lena High School,High School,Virtual,,,jahnkee@lenak12.org,https://www.formstack.com/admin/submission/report/36334234?share=M2W1pVLAaw,"bholbrook@cesa9.org, vbrooks@cesa9.org"
Lincoln High School - Manitowoc,High School,Full Service,MANITOWOC,"Brown, Calumet, Dodge, Fond Du Lac, Green Lake, Manitowoc, Outagamie, Ozaukee, Sheboygan, Washington, Winnebago",schooltowork@mpsd.school,https://www.formstack.com/admin/submission/report/30333362?share=SEjunzjZF2,"jschwoerer@cesa6.org, mstolp@cesa6.org"
Little Chute Career Pathways Academy,High School,Full Service,OUTAGAMIE,"Brown, Calumet, Dodge, Fond Du Lac, Green Lake, Manitowoc, Outagamie, Ozaukee, Sheboygan, Washington, Winnebago",,https://www.formstack.com/admin/submission/report/30333426?share=ImAPHhPawD,"mstolp@cesa6.org, cpavelski@cesa6.org"
Little Chute Flex Academy,Middle School,Virtual,OUTAGAMIE,,,https://www.formstack.com/admin/submission/report/30333426?share=ImAPHhPawD,"mstolp@cesa6.org, cpavelski@cesa6.org"
Little Chute High School,High School,Full Service,OUTAGAMIE,"Brown, Calumet, Dodge, Fond Du Lac, Green Lake, Manitowoc, Outagamie, Ozaukee, Sheboygan, Washington, Winnebago",,https://www.formstack.com/admin/submission/report/30333426?share=ImAPHhPawD,"mstolp@cesa6.org, cpavelski@cesa6.org"
Little Chute Middle School,Middle School,Virtual,OUTAGAMIE,,,https://www.formstack.com/admin/submission/report/30333426?share=ImAPHhPawD,"mstolp@cesa6.org, cpavelski@cesa6.org"
Little Wolf High School,High School,Full Service,WAUPACA,"Waupaca, Shawano, Outagamie, Portage","mjohnson@manawaschools.org, scordes@manawaschools.org",https://www.formstack.com/admin/submission/report/40353382?share=3FZlOION2x,Inspire@waupacaareachamber.com
Lomira High School,High School,Full Service,DODGE,"Brown, Calumet, Columbia, Dodge, Fond Du Lac, Green Lake, Manitowoc, Outagamie, Ozaukee, Sheboygan, Washington, Winnebago",,https://www.formstack.com/admin/submission/report/30363304?share=ftXfknFZAv,"mstolp@cesa6.org, rdroesslermersch@cesa6.org"
Lomira Middle School,Middle School,Virtual,DODGE,,,https://www.formstack.com/admin/submission/report/30363304?share=ftXfknFZAv,"mstolp@cesa6.org, rdroesslermersch@cesa6.org"
LTC,College/Post-Secondary,Full Service,SHEBOYGAN,"Sheboygan, Manitowoc, Calumet, Ozaukee",,https://www.formstack.com/admin/submission/report/30333427?share=futGFnXELK,mmotiska@inspiresheboygancounty.org
Manawa Middle School,Middle School,Full Service,WAUPACA,"Waupaca, Shawano, Outagamie, Portage",mjohnson@manawaschools.org,https://www.formstack.com/admin/submission/report/40353382?share=3FZlOION2x,Inspire@waupacaareachamber.com
Maple Dale-Indian Hill School District,Middle School,M7-Educator,Milwaukee,Milwaukee,,https://www.formstack.com/admin/submission/report/43878114?share=I0HjGjd4vo,inspirem7@cesa1.k12.wi.us
Maplewood Middle School - Menasha,Middle School,Virtual,WINNEBAGO,,,https://www.formstack.com/admin/submission/report/30333440?share=jfWp7Q1vyU,"mstolp@cesa6.org, cpavelski@cesa6.org"
Marinette High School,High School,Virtual,,,dklein@marinette.k12.wi.us,https://www.formstack.com/admin/submission/report/36334257?share=uiTkx1GWOa,"bholbrook@cesa9.org, vbrooks@cesa9.org"
Markesan High School,High School,Full Service,GREEN LAKE,"Brown, Calumet, Dodge, Fond Du Lac, Green Lake, Manitowoc, Outagamie, Ozaukee, Sheboygan, Washington, Winnebago",,https://www.formstack.com/admin/submission/report/30333452?share=OsvFhOZkjt,"rdroesslermersch@cesa6.org, mstolp@cesa6.org"
Markesan Middle School,Middle School,Virtual,GREEN LAKE,,,https://www.formstack.com/admin/submission/report/30333452?share=OsvFhOZkjt,"rdroesslermersch@cesa6.org, mstolp@cesa6.org"
Mayville High School,High School,Full Service,Dodge,"Brown, Calumet, Columbia, Dodge, Fond Du Lac, Green Lake, Manitowoc, Outagamie, Ozaukee, Sheboygan, Washington, Winnebago",,https://www.formstack.com/admin/submission/report/36999916?share=4I28l3Nuz7,"rdroesslermersch@cesa6.org, mstolp@cesa6.org"
McKinley Academy - Manitowoc,High School,Full Service,MANITOWOC,"Brown, Calumet, Dodge, Fond Du Lac, Green Lake, Manitowoc, Outagamie, Ozaukee, Sheboygan, Washington, Winnebago",hollya@mpsd.school,https://www.formstack.com/admin/submission/report/36686921?share=gYWw3Qa3jF,mstolp@cesa6.org
Menasha High School,High School,Full Service,WINNEBAGO,"Brown, Calumet, Dodge, Fond Du Lac, Green Lake, Manitowoc, Outagamie, Ozaukee, Sheboygan, Washington, Winnebago",,https://www.formstack.com/admin/submission/report/30333440?share=jfWp7Q1vyU,"mstolp@cesa6.org, cpavelski@cesa6.org"
Menomonee Falls School District,"High School, Middle School",M7-Educator,Waukesha,Waukesha,,https://www.formstack.com/admin/submission/report/43878126?share=j7bHAIVUfM,inspirem7@cesa1.k12.wi.us
Mequon Thiensville School District,"High School, Middle School",M7-Educator,Ozaukee M7,Ozaukee M7,,https://www.formstack.com/admin/submission/report/43878127?share=hyvAXSksQD,inspirem7@cesa1.k12.wi.us
Merton Community School District,Middle School,M7-Educator,Waukesha,Waukesha,,https://www.formstack.com/admin/submission/report/43878150?share=i5fLywrFqs,inspirem7@cesa1.k12.wi.us
Milwaukee Academy of Science,"High School, Middle School",M7-Educator,Milwaukee,Milwaukee,,https://www.formstack.com/admin/submission/report/43878151?share=ni8bw2QKDR,inspirem7@cesa1.k12.wi.us
Milwaukee Collegiate Academy,"High School, Middle School",M7-Educator,Milwaukee,Milwaukee,,https://www.formstack.com/admin/submission/report/43878153?share=AiZig6Ov59,inspirem7@cesa1.k12.wi.us
Milwaukee School District,"High School, Middle School",M7-Educator,MPS,"MPS, Milwaukee",,https://www.formstack.com/admin/submission/report/43878187?share=DwdtpKTx9c,inspirem7@cesa1.k12.wi.us
Mukwonago School District,"High School, Middle School",M7-Educator,Waukesha,Waukesha,,https://www.formstack.com/admin/submission/report/43878188?share=HzuYikedA3,inspirem7@cesa1.k12.wi.us
Muskego Norway School District,"High School, Middle School",M7-Educator,Waukesha,Waukesha,,https://www.formstack.com/admin/submission/report/43878189?share=5Yheee3ubs,inspirem7@cesa1.k12.wi.us
New Berlin School District,"High School, Middle School",M7-Educator,Waukesha,Waukesha,,https://www.formstack.com/admin/submission/report/43878201?share=VTCc7hsCs8,inspirem7@cesa1.k12.wi.us
New Holstein High School,High School,Full Service,CALUMET,"Brown, Calumet, Dodge, Fond Du Lac, Green Lake, Manitowoc, Outagamie, Ozaukee, Sheboygan, Washington, Winnebago","oschad@nhsd.k12.wi.us, bzoelle@nhsd.k12.wi.us ",https://www.formstack.com/admin/submission/report/30333465?share=53o0NRon1Q,"mstolp@cesa6.org, cpavelski@cesa6.org"
New Holstein Middle School,Middle School,Virtual,CALUMET,,,https://www.formstack.com/admin/submission/report/30333465?share=53o0NRon1Q,"mstolp@cesa6.org, cpavelski@cesa6.org"
New London High School,High School,Full Service,WAUPACA,"Waupaca,Outagamie,Winnebago","byerkey@newlondon.k12.wi.us,rschussl@newlondon.k12.wi.us,bmarquar@newlondon.k12.wi.us,cflander@newlondon.k12.wi.us",https://www.formstack.com/admin/submission/report/37749186?share=uQfVANDoNR,Inspire@waupacaareachamber.com
New London Middle School,Middle School,Full Service,WAUPACA,"Waupaca,Outagamie,Winnebago","apinch@newlondon.k12.wi.us,treynoso@newlondon.k12.wi.us,wberglund@newlondon.k12.wi.us,mdickrel@newlondon.k12.wi.us",https://www.formstack.com/admin/submission/report/37749186?share=uQfVANDoNR,Inspire@waupacaareachamber.com
Niagara High School,High School,Virtual,,,spetschar@niagara.k12.wi.us,https://www.formstack.com/admin/submission/report/36334263?share=SWhxoqOMqv,"bholbrook@cesa9.org, vbrooks@cesa9.org"
Nicolet UHS School District,"High School, Middle School",M7-Educator,Milwaukee,Milwaukee,,https://www.formstack.com/admin/submission/report/43878213?share=5PvSWbYCpr,inspirem7@cesa1.k12.wi.us
Norris School District,"High School, Middle School",M7-Educator,Waukesha,Waukesha,,https://www.formstack.com/admin/submission/report/43878214?share=7x4Swz7X0n,inspirem7@cesa1.k12.wi.us
North Fond du Lac (Horace Mann),High School,Full Service,Fond du Lac,"Brown, Calumet, Columbia, Dodge, Fond Du Lac, Green Lake, Manitowoc, Outagamie, Ozaukee, Sheboygan, Washington, Winnebago",,https://www.formstack.com/admin/submission/report/36999917?share=WLnMpABHtz,"mstolp@cesa6.org, rdroesslermersch@cesa6.org"
North Lake School District,Middle School,M7-Educator,Waukesha,Waukesha,,https://www.formstack.com/admin/submission/report/43878215?share=Jyu3iZ4FFm,inspirem7@cesa1.k12.wi.us
